Participant,Image,Choice,RT,time_condition
Participant,Image,Response,RT,1s
A6,images/image_23.jpg,left,0.3701243999530561,5s
A6,images/image_24.jpg,left,0.5009177000029013,5s
A6,images/image_25.jpg,left,0.4913906999863684,5s
A6,images/image_26.jpg,,1.0,1s
A6,images/image_27.jpg,,1.0,1s
A6,images/image_28.jpg,,1.0,1s
A6,images/image_29.jpg,,1.0,1s
A6,images/image_30.jpg,,1.0,1s
A6,images/image_26.jpg,left,1.0450243999948725,5s
A6,images/image_27.jpg,left,0.9531199000193736,5s
A6,images/image_28.jpg,left,0.974660799955018,5s
A6,images/image_29.jpg,left,0.949988599983044,5s
A6,images/image_30.jpg,left,1.4745215000002645,5s
A6,images/image_31.jpg,left,0.9182261999812908,1s
A6,images/image_32.jpg,left,0.7963036000146531,1s
A6,images/image_33.jpg,left,0.5575813999748789,1s
A6,images/image_34.jpg,left,0.5837520000059158,1s
A6,images/image_35.jpg,left,0.4180404999642633,1s
A6,images/image_31.jpg,left,0.703201100055594,5s
A6,images/image_32.jpg,left,0.6096788999857381,5s
A6,images/image_33.jpg,left,0.4188861000002362,5s
A6,images/image_34.jpg,left,0.3859672000398859,5s
A6,images/image_35.jpg,left,0.5510527000296861,5s
A7,images/image_1.jpg,up,0.6650454000337049,1s
A7,images/image_2.jpg,left,0.8152316999621689,1s
A7,images/image_3.jpg,left,0.9769994000671433,1s
A7,images/image_4.jpg,left,0.957420999999158,1s
A7,images/image_5.jpg,up,0.7296949999872595,1s
A7,images/image_1.jpg,left,0.614572299993597,5s
A7,images/image_2.jpg,up,0.3715802000369876,5s
A7,images/image_3.jpg,left,0.60683359997347,5s
A7,images/image_4.jpg,left,0.6615302000427619,5s
A7,images/image_5.jpg,left,0.3156135000754148,5s
A7,images/image_6.jpg,left,0.7563601000001654,1s
A7,images/image_7.jpg,up,0.5887667000060901,1s
A7,images/image_8.jpg,up,0.5630144999595359,1s
A7,images/image_9.jpg,up,0.3237538000103086,1s
A7,images/image_10.jpg,up,0.556722900015302,1s
A7,images/image_6.jpg,up,0.7418667000019923,5s
A7,images/image_7.jpg,up,0.5199188999831676,5s
A7,images/image_8.jpg,up,0.5910652000457048,5s
A7,images/image_9.jpg,up,0.5677366000600159,5s
A7,images/image_10.jpg,left,0.6131753000663593,5s
A7,images/image_11.jpg,,1.0,1s
A7,images/image_12.jpg,up,0.9286134999711066,1s
A7,images/image_13.jpg,,1.0,1s
A7,images/image_14.jpg,left,0.8365565999411047,1s
A7,images/image_15.jpg,,1.0,1s
A7,images/image_11.jpg,left,1.1090158000588417,5s
A7,images/image_12.jpg,left,0.451718800002709,5s
A7,images/image_13.jpg,left,0.5562974000349641,5s
A7,images/image_14.jpg,up,0.3089340000879019,5s
A7,images/image_15.jpg,left,0.5826820000074804,5s
A7,images/image_16.jpg,left,0.7799656999995932,1s
A7,images/image_17.jpg,left,0.9735565000446512,1s
A7,images/image_18.jpg,left,0.9083800999214872,1s
A7,images/image_19.jpg,up,0.6731741999974474,1s
A7,images/image_20.jpg,,1.0,1s
A7,images/image_16.jpg,left,1.0026693999534473,5s
A7,images/image_17.jpg,left,0.3632547999732196,5s
A7,images/image_18.jpg,up,0.5792484999401495,5s
A7,images/image_19.jpg,left,1.7971939999843016,5s
A7,images/image_20.jpg,left,0.6545898000476882,5s
A7,images/image_21.jpg,up,0.7024102000286803,1s
A7,images/image_22.jpg,up,0.3601188000757247,1s
A7,images/image_23.jpg,up,0.5522508000722155,1s
A7,images/image_24.jpg,up,0.4120762000093236,1s
A7,images/image_25.jpg,up,0.4583338999655098,1s
A7,images/image_21.jpg,up,0.6599877999396995,5s
A7,images/image_22.jpg,up,0.4409663999686017,5s
A7,images/image_23.jpg,up,0.5956628000130877,5s
A7,images/image_24.jpg,up,0.3538234999869019,5s
A7,images/image_25.jpg,left,0.2400389000540599,5s
A7,images/image_26.jpg,,1.0,1s
A7,images/image_27.jpg,left,0.760208300082013,1s
A7,images/image_28.jpg,,1.0,1s
A7,images/image_29.jpg,left,0.4232738999417051,1s
A7,images/image_30.jpg,left,0.451065200031735,1s
A7,images/image_26.jpg,up,2.1070794999832287,5s
A7,images/image_27.jpg,left,1.6404285999014974,5s
A7,images/image_28.jpg,left,1.086871000006795,5s
A7,images/image_29.jpg,left,0.3786143999313935,5s
A7,images/image_30.jpg,left,0.5997448000125587,5s
A7,images/image_31.jpg,left,0.9821067000739276,1s
A7,images/image_32.jpg,left,0.485693399910815,1s
A7,images/image_33.jpg,left,0.3290629000402987,1s
A7,images/image_34.jpg,left,0.4326827999902889,1s
A7,images/image_35.jpg,left,0.6199260000139475,1s
A7,images/image_31.jpg,left,0.6579208000330254,5s
A7,images/image_32.jpg,left,0.3424338001059368,5s
A7,images/image_33.jpg,left,0.2415316000115126,5s
A7,images/image_34.jpg,left,0.1781089999713003,5s
