Participant,Image,Response,RT
A7,images/image_16.jpg,left,1.0026693999534473
A7,images/image_17.jpg,left,0.3632547999732196
A7,images/image_18.jpg,up,0.5792484999401495
A7,images/image_19.jpg,left,1.7971939999843016
A7,images/image_20.jpg,left,0.6545898000476882
A7,images/image_21.jpg,up,0.7024102000286803
A7,images/image_22.jpg,up,0.3601188000757247
A7,images/image_23.jpg,up,0.5522508000722155
A7,images/image_24.jpg,up,0.4120762000093236
A7,images/image_25.jpg,up,0.4583338999655098
A7,images/image_21.jpg,up,0.6599877999396995
A7,images/image_22.jpg,up,0.4409663999686017
A7,images/image_23.jpg,up,0.5956628000130877
A7,images/image_24.jpg,up,0.3538234999869019
A7,images/image_25.jpg,left,0.2400389000540599
A7,images/image_26.jpg,,1.0
A7,images/image_27.jpg,left,0.760208300082013
A7,images/image_28.jpg,,1.0
A7,images/image_29.jpg,left,0.4232738999417051
A7,images/image_30.jpg,left,0.451065200031735
A7,images/image_26.jpg,up,2.1070794999832287
A7,images/image_27.jpg,left,1.6404285999014974
A7,images/image_28.jpg,left,1.086871000006795
A7,images/image_29.jpg,left,0.3786143999313935
A7,images/image_30.jpg,left,0.5997448000125587
A7,images/image_31.jpg,left,0.9821067000739276
A7,images/image_32.jpg,left,0.485693399910815
A7,images/image_33.jpg,left,0.3290629000402987
A7,images/image_34.jpg,left,0.4326827999902889
A7,images/image_35.jpg,left,0.6199260000139475
A7,images/image_31.jpg,left,0.6579208000330254
A7,images/image_32.jpg,left,0.3424338001059368
A7,images/image_33.jpg,left,0.2415316000115126
A7,images/image_34.jpg,left,0.1781089999713003
A7,images/image_35.jpg,left,0.3413316999794915
A8,images/image_1.jpg,left,0.8134107999503613
A8,images/image_2.jpg,left,0.3307022000662982
A8,images/image_3.jpg,left,0.4310900999698788
A8,images/image_4.jpg,,1.0
A8,images/image_5.jpg,left,0.4671955000376329
A8,images/image_1.jpg,left,0.3552330000093207
A8,images/image_2.jpg,left,0.2090963999507948
A8,images/image_3.jpg,left,0.3248690000036731
A8,images/image_4.jpg,left,0.453945399960503
A8,images/image_5.jpg,left,0.3194656000705436
A8,images/image_6.jpg,up,0.97632929997053
A8,images/image_7.jpg,up,0.8950447000097483
